Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41962621,Elevation,Stephen King,"King, Stephen",,,,4,3.67,Simon & Schuster Audio,Audible Audio,4,2018,2018,,10/06/2020,,,read,"I have to admit, this was a great read after a King break. Forgot how good he is at quickly making you connecting with his characters, how instant and easy one can identify and emphatise with them. If you ever want to get someone hooked on King that is a bit squeamish, this is a great book. Lighter version of Thinner, happier implications.",,,1,,,0,,,,,
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,307886255,9.78031E+12,0,4.17,Crown Business,ebook,320,2011,2011,,10/03/2021,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,006112527X,9.78006E+12,4,4.08,HarperCollins,Hardcover,248,2006,1952,,21/01/2021,,,read,,,,1,,,0,,,,,
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",,000720230X,9.78001E+12,5,3.97,HarperCollins Publishers,Hardcover,240,2005,1951,,21/01/2021,,,read,,,,1,,,0,,,,,
18337259,A Game of Thrones #1,Daniel Abraham,"Abraham, Daniel","George R.R. Martin, Tommy Patterson",,9.78035E+12,5,4.62,Bantam,ebook,32,2011,2011,,21/01/2021,,,read,,,,1,,,0,,,,,
1126719,House of Suns,Alastair Reynolds,"Reynolds, Alastair",,575099127,9.78058E+12,4,4.21,Gollancz,Paperback,512,2010,2008,,21/01/2021,,,read,,,,1,,,0,,,,,
149063,The Sands of Mars,Arthur C. Clarke,"Clarke, Arthur C.",,553290959,9.78055E+12,0,3.73,Bantam Spectra,Mass Market Paperback,229,1991,1951,,21/01/2021,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
76740,The Demolished Man,Alfred Bester,"Bester, Alfred",,1857988221,9.78186E+12,0,3.99,Millennium,Paperback,250,1999,1953,,21/01/2021,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
5472,Animal Farm / 1984,George Orwell,"Orwell, George",Christopher Hitchens,,,5,4.29,Houghton Mifflin Harcourt,Hardcover,400,2003,1948,,21/01/2021,,,read,,,,1,,,0,,,,,
41150002,"Apusul (Terra XXI, #2)",Adrian Mihaltianu,"Mihaltianu, Adrian",,,9.78606E+12,5,4.5,Nemira,Paperback,626,2018,2018,,21/01/2021,,,read,,,,1,,,0,,,,,
35068977,"Epoca Inocenţei (Terra XXI, #1)",Adrian Mihaltianu,"Mihaltianu, Adrian",,6067589044,9.78607E+12,5,4.14,Nemira,Paperback,360,2017,2012,,21/01/2021,,,read,,,,1,,,0,,,,,
32801366,Arhanghelul Raul,Ovidiu Eftimie,"Eftimie, Ovidiu",,6067587718,9.78607E+12,5,3.83,Nemira,Paperback,174,2016,2016,,26/12/2020,,,read,"O incercare foarte reusita de a copia un stil care inca nu se bucura de o foarte mare popularitate in romania, anume auto-ironia nationala cu ajutorul unei povesti gogomane in stil SF. Caragiale meets Douglas Adams si ghidul autostopistului galactic.<br/>O lectura de o dupa-amiaza, usoara, amuzanta pe alocuri care castiga 5 stele in loc de 4 doar pentru originalitatea cu care l-a copiat pe Adams si a adaptat stereotipurile pentru Romania. Voi continua sa citesc lecturi mai serioase de la el cand imi voi pune mana pe el, este un autor cu potential.",,,1,,,0,,,,,
